data,temp,pH,turbidez,fosforo,N2amonia,N2k,nitrato,nitrito,dbo,ppt,od
30/01/1990,27,7.2,42,0.151,0.22,0.93,0.37,0.09,6,0,6.2
15/03/1990,25,7.2,45,0.14,0.26,1.08,0.36,0.13,3,0,5.4
24/05/1990,17,7,13,0.183,0.12,0.99,0.71,0.09,3,0,6
11/07/1990,18,6.9,17,0.107,0.22,1.04,0.51,0.13,6,1,4
16/10/1990,25,6.9,10,0.213,1,2.04,0.44,0.17,6,12.6,2.6
22/11/1990,27,6.9,15,0.25,0.5,3.1,0.05,0.1,12,16.5,1.4
18/03/1991,29,7.1,53,0.117,0.16,0.64,0.41,0.004,1,0,6.4
20/05/1991,21,6.5,27,0.094,0.1,0.72,0.3,0.03,2,4.9,7.7
11/07/1991,18,7.1,11,0.03,0.27,1.23,0.36,0.11,4,14.1,6.2
09/10/1991,20,7.1,175,0.473,0.13,1.36,0.55,0.09,6,1.9,7.1
22/01/1992,25,6.2,30,0.176,0.33,1.39,0.55,0.13,5,7.7,3
19/03/1992,27,6.7,54,0.179,0.14,1.25,0.48,0.095,4,7.5,5
14/05/1992,21,6.7,22,0.147,0.26,1.28,0.59,0.12,5,7.8,4.5
16/07/1992,19,6.7,10,0.003,0.69,1.8,0.7,0.203,5,0,4.5
17/09/1992,20,6.7,78,0.333,0.98,2.68,0.39,0.139,10,9.6,3.6
18/11/1992,22,7,180,0.428,0.33,1.97,0.29,0.109,5,0,5.5
13/01/1993,23,7,290,0.646,0.2,1.66,0.33,0.078,4,39.6,6.6
02/02/1993,26,6.4,180,0.398,0.46,1.5,0.61,1.21,2,9.5,4.6
10/03/1993,26,6.8,59,0.222,0.26,1.42,0.67,0.083,3,0,5.5
12/04/1993,25,6.7,61,0.165,0.07,1.4,0.51,0.64,1,1.4,7
12/05/1993,22,6.2,22,0.143,0.23,1.46,0.84,0.109,3,0,5.7
07/06/1993,20,6.2,135,0.265,0.08,1.8,0.66,0.6,4,0,6.8
14/07/1993,19,6.7,3,0.205,0.59,2.61,0.39,0.186,2,12.7,4.2
02/08/1993,18,6.5,4.8,0.247,0.42,2.6,0.16,1.39,4,0.1,4
08/09/1993,20,6.4,43,0.247,0.52,3.03,0.14,0.132,7,6.9,11
13/10/1993,24,6.7,7.4,0.184,0.57,1.8,0.83,2.49,4,0,3.4
10/11/1993,23,6.9,10,0.156,0.63,2.11,0.39,0.255,5,0,4.9
06/12/1993,25,7,78,0.227,1,1.9,0.29,0.24,6,0,2.8
05/01/1994,22,6.4,46,0.159,0.16,1.34,0.47,0.115,5,0,4.7
21/02/1994,24,7.5,180,0.402,0.49,2.4,0.33,0.06,3,32.6,4.4
02/03/1994,23,6.7,100,0.419,0.14,1.6,0.25,0.065,4,33.3,5.4
04/04/1994,23,6.6,4.1,0.173,0.2,1.4,0.52,0.06,2,0,6.6
04/05/1994,22,6.6,8,0.152,0.88,1.52,0.52,0.175,4,8.6,4.2
14/06/1994,19,6.8,2.9,0.156,0.83,8,0.04,0.018,2,0,1.8
06/07/1994,17,6.6,5,0.17,1.03,2.57,0.29,0.144,4,0,2.9
04/08/1994,17,6.9,2.8,0.219,0.34,3,0.1,0.13,5,0,3.6
28/09/1994,20,7,3,0.328,2.66,4.74,0.05,0.037,7,0,2.7
05/10/1994,23,7.1,2.8,0.39,2.7,3.7,0.12,0.05,3,0,2.4
09/11/1994,26,6.6,34,0.188,0.88,2.11,0.71,0.19,6,4.2,2.7
14/12/1994,25,7.5,48,0.239,1.3,2.5,0.22,0.18,6,0,2.2
18/01/1995,26,6.4,61,0.181,0.28,1.2,0.39,0.12,2,3.2,4.4
17/05/1995,20,6.6,130,0.365,0.13,2.59,0.47,0.078,5,30.6,6.5
21/06/1995,17,7,10,0.279,0.43,2.66,0.51,0.115,4,0,5.6
